Country,Total_Gold_Medals,Country,Total_Silver_Medals,Country,Total_Bronze_Medals
United States,1173,United States,953,United States,833
Soviet Union,473,Soviet Union,376,Soviet Union,355
Germany,305,Great Britain,323,France,332
Great Britain,296,Germany,305,Great Britain,331
China,284,France,293,Germany,312
France,264,China,231,Italy,269
Italy,259,Italy,231,Sweden,239
Sweden,213,Sweden,227,Canada,222
Norway,210,Norway,184,Australia,216
Russia,195,Canada,181,Japan,209
